	key	final_y_pred	model_correct	fold	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	status	pos_culture	model
121	False	False	1	f2	27	3	1	1	1	0	1	0.0	random_forest
122	False	False	1	f2	28	0	0	0	1	1	1	0.0	random_forest
123	False	False	1	f3	29	1	0	0	0	1	0	0.0	random_forest
124	True	False	0	f3	30	2	1	0	0	1	0	1.0	random_forest
125	False	False	1	f3	31	2	0	0	0	1	0	0.0	random_forest
126	True	False	0	f3	32	4	0	1	1	0	1	1.0	random_forest
127	True	False	0	f3	33	2	1	0	0	1	1	1.0	random_forest
128	False	False	1	f3	34	3	0	1	1	0	1	0.0	random_forest
129	True	False	0	f3	35	4	1	1	1	1	0	1.0	random_forest
130	False	False	1	f3	36	4	0	1	1	0	1	0.0	random_forest
131	True	False	0	f3	37	4	0	1	1	0	0	1.0	random_forest
132	False	False	1	f4	38	2	0	0	0	1	0	0.0	random_forest
133	False	False	1	f4	39	1	0	0	0	1	0	0.0	random_forest
134	False	False	1	f4	40	4	1	1	1	0	1	0.0	random_forest
135	False	False	1	f4	41	3	1	1	1	0	1	0.0	random_forest
136	False	True	0	f4	42	3	1	1	1	1	1	0.0	random_forest
137	True	True	1	f4	43	1	1	0	0	1	0	1.0	random_forest
138	True	True	1	f4	44	1	1	0	0	1	0	1.0	random_forest
139	False	True	0	f4	45	2	1	0	0	1	0	0.0	random_forest
140	False	True	0	f4	46	1	1	0	0	1	0	0.0	random_forest
