	key	final_y_pred	model_correct	fold	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	model
164	charles_river	charles_river	1	f2	20	2	0	0	1	0	knn
165	charles_river	charles_river	1	f2	21	1	0	1	1	0	knn
166	taconic	taconic	1	f2	22	2	0	0	1	0	knn
167	taconic	taconic	1	f2	23	3	1	0	0	1	knn
168	charles_river	charles_river	1	f2	24	0	1	0	0	1	knn
169	taconic	taconic	1	f2	25	3	0	0	0	1	knn
170	taconic	taconic	1	f2	26	1	1	1	1	1	knn
171	taconic	taconic	1	f2	27	2	1	0	1	0	knn
172	taconic	taconic	1	f2	28	2	1	0	1	1	knn
173	taconic	taconic	1	f2	29	4	1	1	1	0	knn
174	charles_river	charles_river	1	f3	30	0	1	0	0	1	knn
175	taconic	taconic	1	f3	31	4	0	1	1	0	knn
176	taconic	taconic	1	f3	32	3	1	0	0	1	knn
177	charles_river	charles_river	1	f3	33	1	1	1	1	0	knn
178	charles_river	charles_river	1	f3	34	4	0	1	1	0	knn
179	taconic	taconic	1	f3	35	0	0	0	0	1	knn
180	taconic	taconic	1	f3	36	4	1	1	1	1	knn
181	taconic	taconic	1	f3	37	1	1	1	1	0	knn
182	taconic	taconic	1	f3	38	2	1	0	1	1	knn
183	charles_river	charles_river	1	f4	39	3	1	0	0	1	knn
184	taconic	taconic	1	f4	40	2	0	0	1	0	knn
185	charles_river	charles_river	1	f4	41	3	1	0	0	1	knn
186	taconic	taconic	1	f4	42	3	0	0	0	1	knn
187	taconic	taconic	1	f4	43	4	1	1	1	0	knn
188	charles_river	charles_river	1	f4	44	0	1	0	0	1	knn
189	charles_river	charles_river	1	f4	45	1	1	1	1	0	knn
190	charles_river	charles_river	1	f4	46	1	0	1	1	0	knn
191	charles_river	charles_river	1	f4	47	2	0	0	1	0	knn
192	taconic	taconic	1	f0	0	4	1	1	1	0	random_forest
193	charles_river	taconic	0	f0	1	2	0	0	1	1	random_forest
194	taconic	taconic	1	f0	2	1	1	1	1	1	random_forest
195	charles_river	charles_river	1	f0	3	3	0	0	0	1	random_forest
196	charles_river	charles_river	1	f0	4	3	0	0	0	1	random_forest
197	charles_river	charles_river	1	f0	5	4	0	1	1	0	random_forest
198	charles_river	charles_river	1	f0	6	0	0	0	0	1	random_forest
199	taconic	taconic	1	f0	7	2	1	0	1	0	random_forest
200	taconic	taconic	1	f0	8	2	1	0	1	0	random_forest
201	charles_river	charles_river	1	f0	9	4	1	1	1	0	random_forest
202	charles_river	charles_river	1	f1	10	1	0	1	1	0	random_forest
203	charles_river	charles_river	1	f1	11	0	0	0	0	1	random_forest
204	taconic	taconic	1	f1	12	4	0	1	1	0	random_forest
205	taconic	taconic	1	f1	13	3	1	0	0	1	random_forest
206	taconic	taconic	1	f1	14	0	1	0	0	1	random_forest
207	charles_river	charles_river	1	f1	15	0	1	0	0	1	random_forest
208	charles_river	charles_river	1	f1	16	1	0	1	1	0	random_forest
209	charles_river	charles_river	1	f1	17	0	0	0	0	1	random_forest
210	charles_river	charles_river	1	f1	18	1	0	1	1	0	random_forest
211	charles_river	charles_river	1	f1	19	0	0	0	0	1	random_forest
212	charles_river	charles_river	1	f2	20	2	0	0	1	0	random_forest
213	charles_river	charles_river	1	f2	21	1	0	1	1	0	random_forest
214	taconic	taconic	1	f2	22	2	0	0	1	0	random_forest
215	taconic	taconic	1	f2	23	3	1	0	0	1	random_forest
216	charles_river	charles_river	1	f2	24	0	1	0	0	1	random_forest
217	taconic	taconic	1	f2	25	3	0	0	0	1	random_forest
218	taconic	taconic	1	f2	26	1	1	1	1	1	random_forest
219	taconic	taconic	1	f2	27	2	1	0	1	0	random_forest
220	taconic	taconic	1	f2	28	2	1	0	1	1	random_forest
221	taconic	taconic	1	f2	29	4	1	1	1	0	random_forest
222	charles_river	charles_river	1	f3	30	0	1	0	0	1	random_forest
223	taconic	taconic	1	f3	31	4	0	1	1	0	random_forest
224	taconic	taconic	1	f3	32	3	1	0	0	1	random_forest
225	charles_river	charles_river	1	f3	33	1	1	1	1	0	random_forest
226	charles_river	charles_river	1	f3	34	4	0	1	1	0	random_forest
227	taconic	taconic	1	f3	35	0	0	0	0	1	random_forest
228	taconic	taconic	1	f3	36	4	1	1	1	1	random_forest
229	taconic	taconic	1	f3	37	1	1	1	1	0	random_forest
230	taconic	taconic	1	f3	38	2	1	0	1	1	random_forest
231	charles_river	charles_river	1	f4	39	3	1	0	0	1	random_forest
232	taconic	taconic	1	f4	40	2	0	0	1	0	random_forest
233	charles_river	charles_river	1	f4	41	3	1	0	0	1	random_forest
234	taconic	taconic	1	f4	42	3	0	0	0	1	random_forest
235	taconic	taconic	1	f4	43	4	1	1	1	0	random_forest
236	charles_river	charles_river	1	f4	44	0	1	0	0	1	random_forest
237	charles_river	charles_river	1	f4	45	1	1	1	1	0	random_forest
238	charles_river	charles_river	1	f4	46	1	0	1	1	0	random_forest
239	charles_river	charles_river	1	f4	47	2	0	0	1	0	random_forest
240	taconic	taconic	1	f0	0	4	1	1	1	0	ridge_class
