mouse_id	 f__AKAU3644	 f__Acholeplasmataceae	 f__Akkermansiaceae	 f__Alicyclobacillaceae	 f__Anaerofustaceae	 f__Anaerovoracaceae	 f__Atopobiaceae	 f__Bacillaceae	 f__Bacteroidaceae	 f__Beggiatoaceae	 f__Bifidobacteriaceae	 f__Butyricicoccaceae	 f__Christensenellaceae	 f__Clostridia_UCG-014	 f__Clostridia_vadinBB60_group	 f__Clostridiaceae	 f__Deferribacteraceae	 f__Desulfovibrionaceae	 f__Eggerthellaceae	 f__Enterobacteriaceae	 f__Enterococcaceae	 f__Erysipelatoclostridiaceae	 f__Erysipelotrichaceae	 f__Gastranaerophilales	 f__Hungateiclostridiaceae	 f__Lachnospiraceae	 f__Lactobacillaceae	 f__Marinifilaceae	 f__Monoglobaceae	 f__Moorellaceae	 f__Moraxellaceae	 f__Morganellaceae	 f__Muribaculaceae	 f__Oscillospiraceae	 f__Oscillospirales	 f__Peptococcaceae	 f__Peptostreptococcaceae	 f__Prevotellaceae	 f__RF39	 f__Rikenellaceae	 f__Ruminococcaceae	 f__Saccharimonadaceae	 f__Sphingomonadaceae	 f__Spirosomaceae	 f__Streptococcaceae	 f__Sutterellaceae	 f__Tannerellaceae	 f__UCG-010	 f__Weeksellaceae	 f__Xanthomonadaceae	 f__[Eubacterium]_coprostanoligenes_group	 f__uncultured
10	0.0	0.0	0.0007625554186743	0.0	0.0	-0.0007099787006389	0.0	0.0	0.2888663254196037	0.0	0.0	0.0	-0.0018599442016739	-0.0326178736345586	-0.0035198944031679	-0.0071897843064708	-0.0054698359049228	-0.0042798716038518	-0.0010799676009719	0.0	0.0	0.0279958952804355	0.1906384790029138	-0.0011299661010169	0.0	-0.5677800056947481	0.1309290320293676	-0.0032899013029609	0.0	0.0	0.0	0.0	-0.0922337981392303	-0.0268688591506994	0.0	-0.0063698089057328	0.1053181548725471	-0.0093297201083967	-0.0129692283134065	-0.0133695989120326	-0.0096583711147622	-0.0001099967000989	0.0	0.0	0.0131120198539089	0.0175766120708542	0.0294761335101611	-0.0005499835004949	0.0	0.0	-0.0042888191586289	0.0
11	0.0	-0.0003799886003419	0.0968652290038622	0.0	0.0	-0.0007199784006479	0.0	0.0	0.0	0.0	0.0	-0.0002099937001889	0.0	-0.0273991780246592	-0.0017099487015389	-0.0069397918062458	-0.0192194234172974	0.0	-0.0023499295021149	0.0	0.1383122405082287	-0.0098397048088557	0.0101651454983387	0.0	0.0	-0.4575662730118096	-0.2455270444732938	0.0	0.0	0.0	0.0	0.2679305687559402	-0.0972670819875403	-0.0087397378078657	0.0	-9.99970000899973e-05	0.1315641045000054	0.0	-0.0045298641040768	0.0	-0.0225193244202673	0.0	0.0	0.0	0.0	0.0	0.2694996919088475	-0.0008699739007829	0.0	0.0	-0.0084497465076047	0.0
12	0.0	0.0	0.2780151781385797	0.0	-0.0001400140014001	-0.0032403240324032	0.0	0.0	-0.0172117211721172	0.0	0.0	-0.0019201920192019	-0.0010001000100009	-0.0068306830683068	-0.0036503650365036	-0.0062706270627062	-0.0003000300030003	-0.0019301930193019	-0.0018201820182018	0.2303246557442959	0.146969544677857	-0.0007100710071007	0.076299478374815	-0.0045504550455045	0.0	-0.5334133413341334	-0.2377317609135524	-0.0012701270127012	-0.0001800180018001	0.0	0.0	0.0	-0.0916491649164916	-0.0346234623462346	0.0	-0.006010601060106	0.0778671223238516	-0.0033503350335033	-0.002080208020802	-0.0079007900790079	-0.0193519351935193	-0.0001500150015001	0.0	0.0	0.0002817871494657	0.0576466984320303	0.1233518446829103	-0.0007600760076007	0.0	0.0001507689214996	-0.0026502650265026	-0.0002100210021002
13	0.0	-0.000770023100693	0.016762903859388	0.0	0.0	-0.0007099162680798	0.0	0.0	4.001120313687832e-05	0.0	0.0	0.0	0.0	-0.0359910797323919	-0.0073202196065881	-0.0063301899056971	-0.00030000900027	0.0	-0.002780083402502	0.0	0.193284257096112	0.2006595747826421	0.0539058736680277	-6.000180005400162e-05	0.0	-0.1576494655100526	-0.4209168758958259	0.0	0.0	0.0	0.0	0.1624755781644361	-0.18725561766853	-0.0233006990209706	0.0	6.0016804705317486e-05	0.0544461374452604	0.0	-0.0064001920057601	0.0	-0.0062594950908984	0.0	0.0	0.0	0.0	0.0	0.1892999616980067	-0.000760022800684	0.0	0.0	-0.0141304239127173	0.0
14	0.0	-0.0004404845329862	0.0598510503811263	0.0	0.0	0.0057799381616053	0.0	0.0	0.0007300876105132	0.0	0.0	0.0	0.0	-0.0225047552307538	-0.0023827190026643	-0.0042446691360496	-0.0006006607267994	0.0	-0.0023926318950845	0.0	0.1668100172020642	0.0738047065998305	0.0285022625980709	0.0	0.0	-0.2256058771901962	-0.3132150125709549	0.0	0.0	0.0	0.0	0.0976017122054646	-0.1159475422965261	-0.0227650415457002	0.0	0.0	0.0241076665710046	0.0001200144017282	-0.0085093602963259	0.0	-0.0064311908038635	0.0	0.0	0.0	0.0	0.0	0.2789047790149674	-0.0008108919811792	0.0	0.0	-0.010361397537291	0.0
15	0.0	-8.000560039202744e-05	-0.0058495347402472	0.0	-9.000630044103088e-05	-0.0012100847059294	0.0	0.0004041710451863	-0.0320782287231208	0.0002526069032414	-0.000190013300931	-0.0006100427029892	-0.0016101127078895	-0.020421429500065	-0.0052003640254817	-0.0039702779194543	-0.0010800756052923	-0.0028401988139169	-0.0036602562179352	0.6276271117937111	0.1068325115188747	-0.0012869830239018	0.1783584959264988	-0.0004900343024011	0.0	-0.2680187613132919	-0.2673701520314085	-0.0023501645115158	0.0	0.0	0.0	0.0	-0.2700389027231906	-0.0238216675167261	0.0	-0.0057804046283239	0.0604235712553552	-0.0221615513085916	-0.0029102037142599	-0.0151010570739951	-0.0114207994559619	0.0	0.0	0.0	0.000293645464244	-0.0043187487799596	0.0013880607484412	-0.0009400658046063	0.0	0.0	-0.0006800476033322	0.0
16	0.0	-0.0007199640017999	-0.0139092133402449	0.0	-0.0001499925003749	-0.0018499075046247	0.0	0.0	-0.0734763261836908	0.0	0.0	0.0	-0.0016799160041997	-0.0539973001349932	-0.0021398930053497	-0.0028098595070246	-0.0025398730063496	-0.0003999800009999	-0.0029798510074496	0.5257650319352013	0.2116278993202268	-0.0034298285085745	0.1101191447962526	-0.0003999800009999	0.0	-0.0852357382130893	-0.3801208711576701	-0.0030898455077246	-0.0001199940002999	0.0	0.0	0.0	-0.2769661516924154	-0.0088795560221988	0.0	-0.0124793760311984	0.0620793792062079	-0.0256987150642467	-0.0026898655067246	-0.0116094195290235	-0.0022998850057497	0.0	0.0	0.0	3.000489969101611e-05	0.016059867799902	0.0518495814991852	-0.0007599620018999	0.0	0.0	-0.0065696715164241	-0.0002399880005999
17	0.0	-0.00026	-0.0940699756934372	0.0	0.0	-0.0021999999999999	0.0	0.0	0.0	0.0	0.0	-0.00114	0.0	-0.02992	-0.0047399999999999	-0.00546	-0.00037	0.0	-0.00175	0.0475628419673311	0.0919448251027777	-0.0115	0.1095103318896101	0.0	0.0	-0.1810484605843577	-0.3585156869354726	0.0	-9e-05	0.0	0.0	0.1073789923279285	-0.19546	-0.01508	0.0	-0.00017	0.0056021443789823	0.0	-0.00566	0.0	-0.01202	0.0	0.0	0.0	0.0	0.0	0.5732549875466376	-0.00078	0.0	0.0	-0.01502	0.0
18	0.0	-0.00087	-0.06504	0.0	0.0	-0.00215	0.0	0.0	0.13496	0.0	0.0	-0.00168	0.0	-0.03947	-0.00662	-0.00266	-0.0006	0.0	-0.0017	0.46091	0.05102	-0.00984	0.17215	0.0	0.0	-0.21099	-0.2504099999999999	0.0	0.0	0.0	0.0	-4e-05	-0.18104	-0.01965	0.0	0.0	0.04733	3e-05	-0.0079	0.0	-0.02369	0.0	0.0	0.0	0.00018	0.02509	-0.04351	-0.00054	0.0	0.0	-0.02327	0.0
19	0.0	-0.00058002900145	-0.0007403607467829	0.0	0.0	-0.0010600530026501	0.0	0.0	0.0036192653192171	0.0	0.0	0.0	0.0	-0.0210810540527026	-0.0036201810090504	-0.0021901095054752	-0.0148307415370768	0.0	-0.0023501175058752	0.0	0.4557481711910426	-0.004308906895457	0.0033909301937666	0.0	0.0	-0.4131844184445347	-0.0105934145560341	0.0	0.0	0.0	0.0	0.1200474469705198	-0.1496074803740187	-0.0156307815390769	0.0	-7.000350017500875e-05	0.0436388190319044	0.0	-0.0100905045252262	0.0	-0.0103103142003426	0.0	0.0	0.0	0.0	0.0	0.0441643557153796	-0.0010100505025251	0.0	0.0	-0.0093504675233761	0.0
