	key	final_y_pred	model_correct	fold	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	status	pos_culture	model
112	survived	didnt_survive	0	f1	18	3	0	1	1	0	1	0.0	random_forest
113	survived	didnt_survive	0	f1	19	2	0	0	0	1	1	0.0	random_forest
114	didnt_survive	didnt_survive	1	f2	20	1	1	0	0	1	0	1.0	random_forest
115	didnt_survive	survived	0	f2	21	4	0	1	1	0	0	1.0	random_forest
116	didnt_survive	didnt_survive	1	f2	22	2	1	0	0	1	0	1.0	random_forest
117	didnt_survive	didnt_survive	1	f2	23	1	0	0	0	1	0	1.0	random_forest
118	survived	survived	1	f2	24	0	0	0	1	0	1	0.0	random_forest
119	didnt_survive	didnt_survive	1	f2	25	2	0	0	0	1	0	0.0	random_forest
120	didnt_survive	survived	0	f2	26	3	0	1	1	0	0	0.0	random_forest
121	survived	survived	1	f2	27	3	1	1	1	0	1	0.0	random_forest
122	survived	didnt_survive	0	f2	28	0	0	0	1	1	1	0.0	random_forest
123	didnt_survive	didnt_survive	1	f3	29	1	0	0	0	1	0	0.0	random_forest
124	didnt_survive	didnt_survive	1	f3	30	2	1	0	0	1	0	1.0	random_forest
125	didnt_survive	didnt_survive	1	f3	31	2	0	0	0	1	0	0.0	random_forest
126	survived	survived	1	f3	32	4	0	1	1	0	1	1.0	random_forest
127	survived	didnt_survive	0	f3	33	2	1	0	0	1	1	1.0	random_forest
128	survived	didnt_survive	0	f3	34	3	0	1	1	0	1	0.0	random_forest
129	didnt_survive	survived	0	f3	35	4	1	1	1	1	0	1.0	random_forest
130	survived	survived	1	f3	36	4	0	1	1	0	1	0.0	random_forest
131	didnt_survive	survived	0	f3	37	4	0	1	1	0	0	1.0	random_forest
132	didnt_survive	didnt_survive	1	f4	38	2	0	0	0	1	0	0.0	random_forest
133	didnt_survive	didnt_survive	1	f4	39	1	0	0	0	1	0	0.0	random_forest
134	survived	survived	1	f4	40	4	1	1	1	0	1	0.0	random_forest
135	survived	didnt_survive	0	f4	41	3	1	1	1	0	1	0.0	random_forest
136	survived	survived	1	f4	42	3	1	1	1	1	1	0.0	random_forest
137	didnt_survive	didnt_survive	1	f4	43	1	1	0	0	1	0	1.0	random_forest
138	didnt_survive	didnt_survive	1	f4	44	1	1	0	0	1	0	1.0	random_forest
139	didnt_survive	survived	0	f4	45	2	1	0	0	1	0	0.0	random_forest
140	didnt_survive	didnt_survive	1	f4	46	1	1	0	0	1	0	0.0	random_forest
